number,address,phone,build_year
102,Büzmeýin etrabynyň Herrikgala ýaşaýyş toplumynyň H. Babajyk köçesiniň 1/1 jaýy,kätip: 25-39-18,1957ý
103,Büzmeýin etrabynyň Gökje ýaşaýyş toplumynyň Mätäji köçesiniň 84-njy jaýy,kätip nobatçy: 32-42-15,1965ý
104,Büzmeýin etrabynyň Gökje ýaşaýyş toplumynyň Alamyşow köçesiniň 40-njy jaýy,kätip nobatçy: 32-45-46,1997ý
105,Büzmeýin etrabynyň Gökje ýaşaýyş toplumynyň Mollanepes köçesiniň 63-nji jaýy,kätip nobatçy: 32-45-47,1973ý
106,Büzmeýin etrabynyň Bagyr ýaşaýyş toplumynyň Artyk Jallyýew köçesiniň 14-nji jaýy,kätip nobatçy: 32-00-32,1953ý
107,Büzmeýin etrabynyň Bagyr ýaşaýyş toplumy Ö.Gurtgeldiýew köçesiniň 32-nji jaýy,Kätip nobatçy: 32-00-31,1958ý
108,Büzmeýin etrabynyň Bagyr ýaşaýyş toplumynyň Deňizhan köçesiniň 74-nji jaýy,kätip nobatçy: 32-20-08,1993ý
109,Büzmeýin etrabynyň Bagyr ýaşaýyş toplumynyň Arkaç köçesiniň 2-nji jaýy,kätip nobatçy: 32-03-69,1980ý
110,Büzmeýin etrabynyň Jülge ýaşaýyş toplumynyň Merkezi köçesiniň 7-nji jaýy,nobatçy: 16-70-61,1967ý
111,Parahat ÝJT –nyň Kemine köçesiniň 14-nji jaýy,okuw müdir: 25-56-67nobatçy: 25-56-36kätip: 25-56-64,2015ý
112,Aşgabat şäheriniň Bagtyýarlyk etrabynyň G.Orazow köçesiniň 1-nji jaýy,Mudir nobatçy: 25-07-09 okuw müdir: 25-07-06,1966ý
113,Bagtyýarlyk etraby Parahat ýaşaýyş toplumynyň Ýeňiş Seýilgähi köçesiniň 2-nji jaýy,Müdir nobatçy: 25-40-71,1983ý
114,Ruhabat ўaşaўyş toplumynyň N.Halmämmedow köçesiniň 14-nji jaýy,müdir: 24-56-13 nobatçy: 24-56-35,1968ý
115,Ruhabat ýaşaýyş toplumynyň Bitaraplyk köçesiniň 4-nji jaýy,müdir: 24-16-55 terbiýeçi: 24-16-79kätip nobatçy: 24-16-80,2003ý
116,Aşgabat şäheriniň Taslama köçesiniň 62-nji jaýy,müdir: 97-57-72 kätip: 97-57-76 nobatçy: 97-57-78,2015ý
117,Gypjak ýaşaýyş toplumynyň Magtymguly köçesiniň 1-nji A jaýy,kätip nobatçy: 25-66-30,2008ý
118,Gypjak ýaşaýyş toplumynyň Görogly köçesiniň 3-nji A jaýy,kätip nobatçy: 25-60-04,1998ý
119,Bagtyýarlyk etrabynyň Magaryf ýaşaýyş toplumynyň Bitaraplyk köçesiniň 1-nji jaýy,kätip nobatçy: 25-96-02,2011ý
120,Bagtyýarlyk etrabynyň Gypjak ýaşaýyş toplumynyň Nurgeldi Atagulyýew köçesiniň 2/1-nji jaýy,kätip nobatçy: 25-73-41,2009ý
121,Bagtyýarlyk etrabynyň Ýasmansalyk ýaşaýyş toplumynyň Agzybirlik köçesiniň 63/1-nji jaýy,kätip nobatçy: 29-16-34,1972ý
122,Bagtyýarlyk etrabynyň Ýasmansalyk ýaşaýyş toplumynyň Agzybirlik köçesiniň 33/1-nji jaýy,kätip nobatçy: 29-15-40,1995ý
123,Aşgabat şäheriniň Bagtyýarlyk etrabynyň Ruhubelentlik köçesiniň 7-nji jaýy,kätip nobatçy: 29-15-01,1949ý
124,Ýasmansalyk ýaşaýyş toplumynyň Akdaşaýak köçesiniň 24-nji jaýy,mudir: 29-00-80 kätip: 29-00-79,2011ý
125,Bagtyýarlyk etrap Garadaşaýak ýaşaýyş toplumynyň Büzmeýin köçesiniň 41-nji jaýy,kätip nobatçy: 29-25-01,2016ý
126,Bagtyýarlyk etrap Garadaşaýak ýaşaýyş toplumynyň Altyn-asyr köçesiniň 42-nji jaýy,kätip nobatçy: 29-25-02,1950ý
127,Bagtyýarlyk etrap Garadaşaýak ýaşaýyş toplumynyň Garadaşaýak köçesiniň 6-njy jaýy,kätip nobatçy: 29-25-03,1980ý
128,Bagtyýarlyk etrabynyň Garadaşaýak ýaşaýyş toplumynyň Garadaşaýak köçesiniň 1-nji jaýy,okuw müdir: 29-65-67 kätip nobatçy: 29-65-64,2013ý
129,Büzmeýin etrabynyň Senagat köçesiniň 1-nji geçelgesi,,2021ý
130,Gurbannazar Ezizow köçesiniň 42-nji jaýy,kätip: 95-53-29 nobatçy: 95-52-91,2015ý
131,Aşgabat şäheriniň Seýitnazar Seýdi köçesi 54/1 jaýy,müdir: 36-91-47kätip nobatçy: 36-91-48,2017ý
132,Aşgabat şäheriniň Parahat 7/1 ýaşaýyş toplumy,Müdir: 51-37-39 kätip nobatçy: 51-37-23 51-37-24,2016ý
133,Aşgabat şäheri Parahat 7/2 ýaşaýyş toplumy,kätip: 51-50-75 nobatçy: 51-50-76,2017ý
134,Aşgabat şäheri Parahat 7/4 ýaşaýyş toplumynyň 27-nji jaýy,,2017ý
135,Parahat 7/4 ýaşaýyş toplumy j.51,müdir: 42-28-05 kätip: 42-28-03 nobatçy: 42-28-06,2017ý
136,Aşgabat şäheri Parahat 7/5 ýaşaýyş toplumy,,2017ý
137,Täze zaman ýaşaýyş toplumynyň Baba Annaseýidow köçesiniň 23-nji jaýy,katip: 24-66-78 nobatçy: 24-66-77,2014ý
138,Bagtyýarlyk etrabynyň Gülzada ýaşaýyş toplumynyň Gülzada köçesi,,2016ý
139,Bagtyýarlyk etrabynyň Täze zaman ýaşaýyş toplumynyň Miriş köçesiniň 3-nji jaýy,kätip-nobatçy: 24-76-32,2016ý
